AREAS;SITES;TECHNOLOGIES;PERCENTAGES
920260601;2262979;4G;1
920260601;587197;4G;1
920500503;2074797;3G;1
920500503;2074797;5G;1
920500503;2149761;3G;1
920500503;2149761;5G;1
920500503;2074797;4G;1
920500503;2149761;4G;1
920250108;793482;3G;1
920250108;793482;5G;1
920250108;602806;3G;1
920250108;602806;5G;1
920250108;793482;4G;1
920250108;602806;4G;1
920090103;2121166;3G;1
920090103;2121166;5G;1
920090103;752240;3G;1
920090103;752240;5G;1
920090103;2214216;3G;1
920090103;2214216;5G;1
920090103;2121166;4G;1
920090103;752240;4G;1
920090103;2214216;4G;1
920120201;2600485;3G;1
920120201;2600485;5G;1
920120201;2687203;3G;1
920120201;2687203;5G;1
920120201;1494021;3G;1
920120201;1494021;5G;1
920120201;2600485;4G;1
920120201;2687203;4G;1
920120201;1494021;4G;1
920510201;647255;3G;1
920510201;647255;5G;1
920510201;1530707;3G;1
920510201;1530707;5G;1
920510201;1865083;3G;1
920510201;1865083;5G;1
920510201;647255;4G;1
920510201;1530707;4G;1
920510201;1865083;4G;1
920040402;689711;3G;1
920040402;689711;5G;1
920040402;1651051;3G;1
920040402;1651051;5G;1
920040402;652978;3G;1
920040402;652978;5G;1
920040402;689711;4G;1
920040402;1651051;4G;1
920040402;652978;4G;1
920720108;2458889;3G;1
920720108;2458889;5G;1
920720108;836250;3G;1
920720108;836250;5G;1
920720108;2208813;3G;1
920720108;2208813;5G;1
920720108;666471;3G;1
920720108;666471;5G;1
920720108;2458889;4G;1
920720108;836250;4G;1
920720108;2208813;4G;1
920720108;666471;4G;1
920070108;684499;3G;1
920070108;684499;5G;1
920070108;836254;3G;1
920070108;836254;5G;1
920070108;2529900;3G;1
920070108;2529900;5G;1
920070108;684499;4G;1
920070108;836254;4G;1
920070108;2529900;4G;1
920770102;2143153;3G;1
920770102;2143153;5G;1
920770102;1895534;3G;1
920770102;1895534;5G;1
920770102;2488589;3G;1
920770102;2488589;5G;1
920770102;821482;3G;1
920770102;821482;5G;1
920770102;822690;3G;1
920770102;822690;5G;1
920770102;2143153;4G;1
920770102;1895534;4G;1
920770102;2488589;4G;1
920770102;821482;4G;1
920770102;822690;4G;1
920440122;2290959;3G;1
920440122;2290959;5G;1
920440122;1206077;3G;1
920440122;1206077;5G;1
920440122;602043;3G;1
920440122;602043;5G;1
920440122;2290959;4G;1
920440122;1206077;4G;1
920440122;602043;4G;1
920490110;1821698;3G;1
920490110;1821698;5G;1
920490110;2239946;3G;1
920490110;2239946;5G;1
920490110;1692137;3G;1
920490110;1692137;5G;1
920490110;549850;3G;1
920490110;549850;5G;1
920490110;1821698;4G;1
920490110;2239946;4G;1
920490110;1692137;4G;1
920490110;549850;4G;1
920260301;689707;3G;1
920260301;689707;5G;1
920260301;1422610;3G;1
920260301;1422610;5G;1
920260301;394243;3G;1
920260301;394243;5G;1
920260301;689707;4G;1
920260301;1422610;4G;1
920260301;394243;4G;1
920640107;822608;3G;1
920640107;822608;5G;1
920640107;2226202;3G;1
920640107;2226202;5G;1
920640107;550675;3G;1
920640107;550675;5G;1
920640107;822608;4G;1
920640107;2226202;4G;1
920640107;550675;4G;1
920640106;532805;3G;1
920640106;532805;5G;1
920640106;1587961;3G;1
920640106;1587961;5G;1
920640106;532805;4G;1
920640106;1587961;4G;1
920040701;2135481;3G;1
920040701;2135481;5G;1
920040701;555523;3G;1
920040701;555523;5G;1
920040701;2135481;4G;1
920040701;555523;4G;1
920020205;1440425;3G;1
920020205;1440425;5G;1
920020205;1440425;4G;1
920020205;705623;4G;1
920020205;705623;5G;1
920360204;510287;3G;1
920360204;510287;5G;1
920360204;1830770;3G;1
920360204;1830770;5G;1
920360204;353449;3G;1
920360204;353449;5G;1
920360204;510287;4G;1
920360204;1830770;4G;1
920360204;353449;4G;1
920510305;647255;3G;1
920510305;647255;5G;1
920510305;2295715;3G;1
920510305;2295715;5G;1
920510305;1940170;3G;1
920510305;1940170;5G;1
920510305;647255;4G;1
920510305;2295715;4G;1
920510305;1940170;4G;1
920510401;1933567;3G;1
920510401;1933567;5G;1
920510401;2045762;3G;1
920510401;2045762;5G;1
920510401;2058156;3G;1
920510401;2058156;5G;1
920510401;2042542;3G;1
920510401;2042542;5G;1
920510401;1933567;4G;1
920510401;2045762;4G;1
920510401;2058156;4G;1
920510401;2042542;4G;1
920630504;2009051;3G;1
920630504;2009051;5G;1
920630504;794555;3G;1
920630504;794555;5G;1
920630504;2009051;4G;1
920630504;794555;4G;1
920440106;616887;3G;1
920440106;616887;5G;1
920440106;836230;3G;1
920440106;836230;5G;1
920440106;2101045;3G;1
920440106;2101045;5G;1
920440106;1283918;3G;1
920440106;1283918;5G;1
920440106;616887;4G;1
920440106;836230;4G;1
920440106;2101045;4G;1
920440106;1283918;4G;1
920500601;1771954;3G;1
920500601;1771954;5G;1
920500601;1474282;3G;1
920500601;1474282;5G;1
920500601;1771954;4G;1
920500601;1474282;4G;1
920020305;544143;3G;1
920020305;544143;5G;1
920020305;705625;3G;1
920020305;705625;5G;1
920020305;544143;4G;1
920020305;705625;4G;1
920120107;1490172;3G;1
920120107;1490172;5G;1
920120107;1901123;3G;1
920120107;1901123;5G;1
920120107;1490172;4G;1
920120107;1901123;4G;1
920020204;705638;3G;1
920020204;705638;5G;1
920020204;2061205;3G;1
920020204;2061205;5G;1
920020204;705631;3G;1
920020204;705631;5G;1
920020204;705638;4G;1
920020204;2061205;4G;1
920020204;705631;4G;1
920240504;1811421;3G;1
920240504;1811421;5G;1
920240504;871181;3G;1
920240504;871181;5G;1
920240504;1811421;4G;1
920240504;871181;4G;1
920620302;613416;3G;1
920620302;613416;5G;1
920620302;1623353;3G;1
920620302;1623353;5G;1
920620302;613416;4G;1
920620302;1623353;4G;1
920720107;836250;3G;1
920720107;836250;5G;1
920720107;1016710;3G;1
920720107;1016710;5G;1
920720107;2208813;3G;1
920720107;2208813;5G;1
920720107;630890;3G;1
920720107;630890;5G;1
920720107;836250;4G;1
920720107;1016710;4G;1
920720107;2208813;4G;1
920720107;630890;4G;1
920620102;1293033;3G;1
920620102;1293033;5G;1
920620102;562486;3G;1
920620102;562486;5G;1
920620102;836361;3G;1
920620102;836361;5G;1
920620102;1567972;3G;1
920620102;1567972;5G;1
920620102;562486;4G;1
920620102;836361;4G;1
920620102;1567972;4G;1
920510306;2022764;3G;1
920510306;2022764;5G;1
920510306;1530707;3G;1
920510306;1530707;5G;1
920510306;2022764;4G;1
920510306;1530707;4G;1
920070113;468651;3G;1
920070113;468651;5G;1
920070113;836254;3G;1
920070113;836254;5G;1
920070113;468651;4G;1
920070113;836254;4G;1
920330107;822604;3G;1
920330107;822604;5G;1
920330107;584435;3G;1
920330107;584435;5G;1
920330107;822604;4G;1
920330107;584435;4G;1
920350102;312042;3G;1
920350102;312042;5G;1
920350102;1284926;3G;1
920350102;1284926;5G;1
920350102;312042;4G;1
920350102;1284926;4G;1
920240401;1584350;3G;1
920240401;1584350;5G;1
920240401;836186;3G;1
920240401;836186;5G;1
920240401;1728070;3G;1
920240401;1728070;5G;1
920240401;2199038;3G;1
920240401;2199038;5G;1
920240401;1584350;4G;1
920240401;836186;4G;1
920240401;1728070;4G;1
920240401;2199038;4G;1
920500401;1545202;3G;1
920500401;1545202;5G;1
920500401;1935544;3G;1
920500401;1935544;5G;1
920500401;2512731;3G;1
920500401;2512731;5G;1
920500401;1545202;4G;1
920500401;1935544;4G;1
920500401;2512731;4G;1
920190107;821428;3G;1
920190107;821428;5G;1
920190107;786853;3G;1
920190107;786853;5G;1
920190107;821428;4G;1
920190107;786853;4G;1
920140107;836359;3G;1
920140107;836359;5G;1
920140107;2474146;3G;1
920140107;2474146;5G;1
920140107;147611;3G;1
920140107;147611;5G;1
920140107;836359;4G;1
920140107;2474146;4G;1
920140107;147611;4G;1
920260503;618350;3G;1
920260503;618350;5G;1
920260503;1685145;3G;1
920260503;1685145;5G;1
920260503;1659059;3G;1
920260503;1659059;5G;1
920260503;618350;4G;1
920260503;1685145;4G;1
920260503;1659059;4G;1
920490106;836242;3G;1
920490106;836242;5G;1
920490106;1692137;3G;1
920490106;1692137;5G;1
920490106;1844421;3G;1
920490106;1844421;5G;1
920490106;836242;4G;1
920490106;1692137;4G;1
920490106;1844421;4G;1
920330108;513336;3G;1
920330108;513336;5G;1
920330108;836272;3G;1
920330108;836272;5G;1
920330108;1895518;3G;1
920330108;1895518;5G;1
920330108;1899964;3G;1
920330108;1899964;5G;1
920330108;513336;4G;1
920330108;836272;4G;1
920330108;1895518;4G;1
920330108;1899964;4G;1
920730104;750482;3G;1
920730104;750482;5G;1
920730104;2306869;3G;1
920730104;2306869;5G;1
920730104;2265851;3G;1
920730104;2265851;5G;1
920730104;750482;4G;1
920730104;2306869;4G;1
920730104;2265851;4G;1
920400402;959871;3G;1
920400402;959871;5G;1
920400402;769392;4G;1
920400402;769392;5G;1
920120403;627950;3G;1
920120403;627950;5G;1
920120403;1413460;3G;1
920120403;1413460;5G;1
920120403;627950;4G;1
920120403;1413460;4G;1
920500605;1724048;3G;1
920500605;1724048;5G;1
920500605;1783216;3G;1
920500605;1783216;5G;1
920500605;1985996;3G;1
920500605;1985996;5G;1
920500605;711000;3G;1
920500605;711000;5G;1
920500605;1818030;3G;1
920500605;1818030;5G;1
920500605;1724048;4G;1
920500605;1783216;4G;1
920500605;1985996;4G;1
920500605;711000;4G;1
920500605;1818030;4G;1
920630601;723412;3G;1
920630601;723412;5G;1
920630601;1272756;3G;1
920630601;1272756;5G;1
920630601;653329;3G;1
920630601;653329;5G;1
920630601;723412;4G;1
920630601;1272756;4G;1
920630601;653329;4G;1
920440123;2097098;3G;1
920440123;2097098;5G;1
920440123;613364;3G;1
920440123;613364;5G;1
920440123;1790941;4G;1
920440123;1790941;5G;1
920440123;2097098;4G;1
920440123;613364;4G;1
920510409;445756;3G;1
920510409;445756;5G;1
920510409;1518924;3G;1
920510409;1518924;5G;1
920510409;403119;3G;1
920510409;403119;5G;1
920510409;445756;4G;1
920510409;1518924;4G;1
920510409;403119;4G;1
920120102;627922;3G;1
920120102;627922;5G;1
920120102;1901123;3G;1
920120102;1901123;5G;1
920120102;512132;3G;1
920120102;512132;5G;1
920120102;627922;4G;1
920120102;1901123;4G;1
920120102;512132;4G;1
920640112;1494021;3G;1
920640112;1494021;5G;1
920640112;2098968;3G;1
920640112;2098968;5G;1
920640112;483764;3G;1
920640112;483764;5G;1
920640112;541311;3G;1
920640112;541311;5G;1
920640112;790289;3G;1
920640112;790289;5G;1
920640112;2282288;3G;1
920640112;2282288;5G;1
920640112;2687203;3G;1
920640112;2687203;5G;1
920640112;2724755;3G;1
920640112;2724755;5G;1
920640112;1905577;3G;1
920640112;1905577;5G;1
920640112;2117213;3G;1
920640112;2117213;5G;1
920640112;2488589;3G;1
920640112;2488589;5G;1
920640112;610934;3G;1
920640112;610934;5G;1
920640112;1494021;4G;1
920640112;2098968;4G;1
920640112;483764;4G;1
920640112;541311;4G;1
920640112;790289;4G;1
920640112;2282288;4G;1
920640112;2687203;4G;1
920640112;2724755;4G;1
920640112;1905577;4G;1
920640112;2117213;4G;1
920640112;2488589;4G;1
920640112;610934;4G;1
920510101;990294;3G;1
920510101;990294;5G;1
920510101;2235193;3G;1
920510101;2235193;5G;1
920510101;350373;3G;1
920510101;350373;5G;1
920510101;990294;4G;1
920510101;2235193;4G;1
920510101;350373;4G;1
920500205;683030;3G;1
920500205;683030;5G;1
920500205;1531953;3G;1
920500205;1531953;5G;1
920500205;683030;4G;1
920500205;1531953;4G;1
920250302;530728;3G;1
920250302;530728;5G;1
920250302;2195077;3G;1
920250302;2195077;5G;1
920250302;442172;3G;1
920250302;442172;5G;1
920250302;530728;4G;1
920250302;2195077;4G;1
920250302;442172;4G;1
920440113;1206077;3G;1
920440113;1206077;5G;1
920440113;1206077;4G;1
920630702;2211523;3G;1
920630702;2211523;5G;1
920630702;1272756;3G;1
920630702;1272756;5G;1
920630702;1685125;3G;1
920630702;1685125;5G;1
920630702;836208;3G;1
920630702;836208;5G;1
920630702;2736523;3G;1
920630702;2736523;5G;1
920630702;2211523;4G;1
920630702;1272756;4G;1
920630702;1685125;4G;1
920630702;836208;4G;1
920630702;2736523;4G;1
920120105;2060610;3G;1
920120105;2060610;5G;1
920120105;1440404;3G;1
920120105;1440404;5G;1
920120105;1901123;3G;1
920120105;1901123;5G;1
920120105;2060610;4G;1
920120105;1440404;4G;1
920120105;1901123;4G;1
920500407;2057078;3G;1
920500407;2057078;5G;1
920500407;594524;3G;1
920500407;594524;5G;1
920500407;2057078;4G;1
920500407;594524;4G;1
920360401;1609227;3G;1
920360401;1609227;5G;1
920360401;1583652;3G;1
920360401;1583652;5G;1
920360401;812348;3G;1
920360401;812348;5G;1
920360401;1609227;4G;1
920360401;1583652;4G;1
920360401;812348;4G;1
920720109;1482229;3G;1
920720109;1482229;5G;1
920720109;1482229;4G;1
920500303;1545202;3G;1
920500303;1545202;5G;1
920500303;2547307;3G;1
920500303;2547307;5G;1
920500303;653775;3G;1
920500303;653775;5G;1
920500303;1545202;4G;1
920500303;2547307;4G;1
920500303;653775;4G;1
920250203;713169;3G;1
920250203;713169;5G;1
920250203;2102727;3G;1
920250203;2102727;5G;1
920250203;689684;3G;1
920250203;689684;5G;1
920250203;713169;4G;1
920250203;2102727;4G;1
920250203;689684;4G;1
920500504;1495026;3G;1
920500504;1495026;5G;1
920500504;2149761;3G;1
920500504;2149761;5G;1
920500504;2074797;3G;1
920500504;2074797;5G;1
920500504;1495026;4G;1
920500504;2149761;4G;1
920500504;2074797;4G;1
920350104;2164951;3G;1
920350104;2164951;5G;1
920350104;797753;3G;1
920350104;797753;5G;1
920350104;1954213;3G;1
920350104;1954213;5G;1
920350104;2164951;4G;1
920350104;797753;4G;1
920350104;1954213;4G;1
920240501;2098506;3G;1
920240501;2098506;5G;1
920240501;2098506;4G;1
920620306;1546382;3G;1
920620306;1546382;5G;1
920620306;1754432;3G;1
920620306;1754432;5G;1
920620306;523501;3G;1
920620306;523501;5G;1
920620306;1546382;4G;1
920620306;1754432;4G;1
920620306;523501;4G;1
920120207;1497151;3G;1
920120207;1497151;5G;1
920120207;2075436;3G;1
920120207;2075436;5G;1
920120207;1497151;4G;1
920120207;2075436;4G;1
920460111;836234;3G;1
920460111;836234;5G;1
920460111;1302792;3G;1
920460111;1302792;5G;1
920460111;2240099;3G;1
920460111;2240099;5G;1
920460111;653790;3G;1
920460111;653790;5G;1
920460111;836234;4G;1
920460111;1302792;4G;1
920460111;2240099;4G;1
920460111;653790;4G;1
920190104;514875;3G;1
920190104;514875;5G;1
920190104;514875;4G;1
920640109;822608;3G;1
920640109;822608;5G;1
920640109;2226202;3G;1
920640109;2226202;5G;1
920640109;1783497;3G;1
920640109;1783497;5G;1
920640109;1610382;3G;1
920640109;1610382;5G;1
920640109;822608;4G;1
920640109;2226202;4G;1
920640109;1783497;4G;1
920640109;1610382;4G;1
920200111;2070086;3G;1
920200111;2070086;5G;1
920200111;1944586;3G;1
920200111;1944586;5G;1
920200111;451299;3G;1
920200111;451299;5G;1
920200111;871193;3G;1
920200111;871193;5G;1
920200111;2070086;4G;1
920200111;1944586;4G;1
920200111;451299;4G;1
920200111;871193;4G;1
920230302;830283;3G;1
920230302;830283;5G;1
920230302;2570000;3G;1
920230302;2570000;5G;1
920230302;796962;3G;1
920230302;796962;5G;1
920230302;653790;3G;1
920230302;653790;5G;1
920230302;830283;4G;1
920230302;2570000;4G;1
920230302;796962;4G;1
920230302;653790;4G;1
920140106;517077;3G;1
920140106;517077;5G;1
920140106;2044082;3G;1
920140106;2044082;5G;1
920140106;147611;3G;1
920140106;147611;5G;1
920140106;517077;4G;1
920140106;2044082;4G;1
920140106;147611;4G;1
920500103;605409;3G;1
920500103;605409;5G;1
920500103;605409;4G;1
920040401;599897;3G;1
920040401;599897;5G;1
920040401;1651051;3G;1
920040401;1651051;5G;1
920040401;652978;3G;1
920040401;652978;5G;1
920040401;599897;4G;1
920040401;1651051;4G;1
920040401;652978;4G;1
920400203;783679;3G;1
920400203;783679;5G;1
920400203;1909804;3G;1
920400203;1909804;5G;1
920400203;1932381;3G;1
920400203;1932381;5G;1
920400203;442134;3G;1
920400203;442134;5G;1
920400203;783679;4G;1
920400203;1909804;4G;1
920400203;1932381;4G;1
920400203;442134;4G;1
920200107;2070086;3G;1
920200107;2070086;5G;1
920200107;515193;3G;1
920200107;515193;5G;1
920200107;1944586;3G;1
920200107;1944586;5G;1
920200107;2070086;4G;1
920200107;515193;4G;1
920200107;1944586;4G;1
920490101;687355;3G;1
920490101;687355;5G;1
920490101;1966367;3G;1
920490101;1966367;5G;1
920490101;871087;3G;1
920490101;871087;5G;1
920490101;687355;4G;1
920490101;1966367;4G;1
920490101;871087;4G;1
920120106;1490172;3G;1
920120106;1490172;5G;1
920120106;1901123;3G;1
920120106;1901123;5G;1
920120106;1490172;4G;1
920120106;1901123;4G;1
920480209;2751527;3G;1
920480209;2751527;5G;1
920480209;2089716;3G;1
920480209;2089716;5G;1
920480209;1897314;3G;1
920480209;1897314;5G;1
920480209;2751527;4G;1
920480209;2089716;4G;1
920480209;1897314;4G;1
920250206;2687810;3G;1
920250206;2687810;5G;1
920250206;2511535;3G;1
920250206;2511535;5G;1
920250206;600357;3G;1
920250206;600357;5G;1
920250206;2687810;4G;1
920250206;2511535;4G;1
920250206;600357;4G;1
920200109;666529;3G;1
920200109;666529;5G;1
920200109;2416318;3G;1
920200109;2416318;5G;1
920200109;666529;4G;1
920200109;2416318;4G;1
920120601;539251;3G;1
920120601;539251;5G;1
920120601;581999;3G;1
920120601;581999;5G;1
920120601;539251;4G;1
920120601;581999;4G;1
920510411;1903044;3G;1
920510411;1903044;5G;1
920510411;445756;3G;1
920510411;445756;5G;1
920510411;1903044;4G;1
920510411;445756;4G;1
920020401;2228730;3G;1
920020401;2228730;5G;1
920020401;544143;3G;1
920020401;544143;5G;1
920020401;705625;3G;1
920020401;705625;5G;1
920020401;485457;3G;1
920020401;485457;5G;1
920020401;2228730;4G;1
920020401;544143;4G;1
920020401;705625;4G;1
920020401;485457;4G;1
920330103;836272;3G;1
920330103;836272;5G;1
920330103;822604;3G;1
920330103;822604;5G;1
920330103;469799;3G;1
920330103;469799;5G;1
920330103;836272;4G;1
920330103;822604;4G;1
920330103;469799;4G;1
920250104;555532;3G;1
920250104;555532;5G;1
920250104;1801949;3G;1
920250104;1801949;5G;1
920250104;599931;3G;1
920250104;599931;5G;1
920250104;555532;4G;1
920250104;1801949;4G;1
920250104;599931;4G;1
920630106;653848;3G;1
920630106;653848;5G;1
920630106;676208;3G;1
920630106;676208;5G;1
920630106;653848;4G;1
920630106;676208;4G;1
920250101;1801949;3G;1
920250101;1801949;5G;1
920250101;599931;3G;1
920250101;599931;5G;1
920250101;1801949;4G;1
920250101;599931;4G;1
920400301;739298;3G;1
920400301;739298;5G;1
920400301;769392;3G;1
920400301;769392;5G;1
920400301;1903324;3G;1
920400301;1903324;5G;1
920400301;739298;4G;1
920400301;769392;4G;1
920400301;1903324;4G;1
920730108;2145245;3G;1
920730108;2145245;5G;1
920730108;553778;3G;1
920730108;553778;5G;1
920730108;2145245;4G;1
920730108;787969;4G;1
920730108;787969;5G;1
920730108;553778;4G;1
920510104;1623859;3G;1
920510104;1623859;5G;1
920510104;588703;3G;1
920510104;588703;5G;1
920510104;1623859;4G;1
920510104;588703;4G;1
920480106;2152376;3G;1
920480106;2152376;5G;1
920480106;539199;3G;1
920480106;539199;5G;1
920480106;1803929;3G;1
920480106;1803929;5G;1
920480106;584048;3G;1
920480106;584048;5G;1
920480106;2152376;4G;1
920480106;539199;4G;1
920480106;1803929;4G;1
920480106;584048;4G;1
920200108;666529;3G;1
920200108;666529;5G;1
920200108;2416318;3G;1
920200108;2416318;5G;1
920200108;666529;4G;1
920200108;2416318;4G;1
920600105;652077;3G;1
920600105;652077;5G;1
920600105;544147;3G;1
920600105;544147;5G;1
920600105;652077;4G;1
920600105;544147;4G;1
920120103;628453;3G;1
920120103;628453;5G;1
920120103;1901123;3G;1
920120103;1901123;5G;1
920120103;628453;4G;1
920120103;1901123;4G;1
920630101;791331;3G;1
920630101;791331;5G;1
920630101;2547307;3G;1
920630101;2547307;5G;1
920630101;655552;3G;1
920630101;655552;5G;1
920630101;791331;4G;1
920630101;2547307;4G;1
920630101;655552;4G;1
920360404;1419434;3G;1
920360404;1419434;5G;1
920360404;1810684;3G;1
920360404;1810684;5G;1
920360404;2238125;3G;1
920360404;2238125;5G;1
920360404;2238127;3G;1
920360404;2238127;5G;1
920360404;2254892;3G;1
920360404;2254892;5G;1
920360404;2369950;3G;1
920360404;2369950;5G;1
920360404;2433832;3G;1
920360404;2433832;5G;1
920360404;714246;3G;1
920360404;714246;5G;1
920360404;798379;3G;1
920360404;798379;5G;1
920360404;1623349;3G;1
920360404;1623349;5G;1
920360404;653373;3G;1
920360404;653373;5G;1
920360404;605405;3G;1
920360404;605405;5G;1
920360404;457874;3G;1
920360404;457874;5G;1
920360404;673299;3G;1
920360404;673299;5G;1
920360404;787126;3G;1
920360404;787126;5G;1
920360404;795418;3G;1
920360404;795418;5G;1
920360404;1419434;4G;1
920360404;1810684;4G;1
920360404;2238125;4G;1
920360404;2238127;4G;1
920360404;2254892;4G;1
920360404;2369950;4G;1
920360404;2433832;4G;1
920360404;714246;4G;1
920360404;798379;4G;1
920360404;1623349;4G;1
920360404;653373;4G;1
920360404;605405;4G;1
920360404;457874;4G;1
920360404;673299;4G;1
920360404;787126;4G;1
920360404;795418;4G;1
920040706;555523;3G;1
920040706;555523;5G;1
920040706;473361;3G;1
920040706;473361;5G;1
920040706;555523;4G;1
920040706;473361;4G;1
920040305;2023694;3G;1
920040305;2023694;5G;1
920040305;1651051;3G;1
920040305;1651051;5G;1
920040305;2023694;4G;1
920040305;1651051;4G;1
920020203;705641;3G;1
920020203;705641;5G;1
920020203;2061205;3G;1
920020203;2061205;5G;1
920020203;705631;3G;1
920020203;705631;5G;1
920020203;705641;4G;1
920020203;2061205;4G;1
920020203;705631;4G;1
920630802;653848;3G;1
920630802;653848;5G;1
920630802;1725912;3G;1
920630802;1725912;5G;1
920630802;822680;3G;1
920630802;822680;5G;1
920630802;653848;4G;1
920630802;1725912;4G;1
920630802;822680;4G;1
920500602;710996;3G;1
920500602;710996;5G;1
920500602;1474282;3G;1
920500602;1474282;5G;1
920500602;710996;4G;1
920500602;1474282;4G;1
920360502;510287;3G;1
920360502;510287;5G;1
920360502;1830770;3G;1
920360502;1830770;5G;1
920360502;822250;3G;1
920360502;822250;5G;1
920360502;798248;3G;1
920360502;798248;5G;1
920360502;510287;4G;1
920360502;1830770;4G;1
920360502;822250;4G;1
920360502;798248;4G;1
920240202;511056;3G;1
920240202;511056;5G;1
920240202;2180400;3G;1
920240202;2180400;5G;1
920240202;1413146;3G;1
920240202;1413146;5G;1
920240202;603864;3G;1
920240202;603864;5G;1
920240202;511056;4G;1
920240202;2180400;4G;1
920240202;1413146;4G;1
920240202;603864;4G;1
920780106;2531541;3G;1
920780106;2531541;5G;1
920780106;2322282;3G;1
920780106;2322282;5G;1
920780106;2531541;4G;1
920780106;2322282;4G;1
920190102;836328;3G;1
920190102;836328;5G;1
920190102;653311;3G;1
920190102;653311;5G;1
920190102;463018;3G;1
920190102;463018;5G;1
920190102;836328;4G;1
920190102;653311;4G;1
920190102;463018;4G;1
920120501;628447;3G;1
920120501;628447;5G;1
920120501;2156076;3G;1
920120501;2156076;5G;1
920120501;628447;4G;1
920120501;2156076;4G;1
920120707;539251;3G;1
920120707;539251;5G;1
920120707;2052502;3G;1
920120707;2052502;5G;1
920120707;581999;3G;1
920120707;581999;5G;1
920120707;539251;4G;1
920120707;2052502;4G;1
920120707;581999;4G;1
920500206;2053153;3G;1
920500206;2053153;5G;1
920500206;711008;3G;1
920500206;711008;5G;1
920500206;2377742;3G;1
920500206;2377742;5G;1
920500206;2053153;4G;1
920500206;711008;4G;1
920500206;2377742;4G;1
920750105;1447454;3G;1
920750105;1447454;5G;1
920750105;435140;3G;1
920750105;435140;5G;1
920750105;1447454;4G;1
920750105;435140;4G;1
920360201;2135481;3G;1
920360201;2135481;5G;1
920360201;1830770;3G;1
920360201;1830770;5G;1
920360201;2140058;3G;1
920360201;2140058;5G;1
920360201;2135481;4G;1
920360201;1830770;4G;1
920360201;2140058;4G;1
920350106;797753;3G;1
920350106;797753;5G;1
920350106;1954213;3G;1
920350106;1954213;5G;1
920350106;1417821;3G;1
920350106;1417821;5G;1
920350106;797753;4G;1
920350106;1954213;4G;1
920350106;1417821;4G;1
920250103;555532;3G;1
920250103;555532;5G;1
920250103;1801949;3G;1
920250103;1801949;5G;1
920250103;599931;3G;1
920250103;599931;5G;1
920250103;555532;4G;1
920250103;1801949;4G;1
920250103;599931;4G;1
920620203;836323;3G;1
920620203;836323;5G;1
920620203;615917;3G;1
920620203;615917;5G;1
920620203;2074797;3G;1
920620203;2074797;5G;1
920620203;836323;4G;1
920620203;615917;4G;1
920620203;2074797;4G;1
920260603;1422468;3G;1
920260603;1422468;5G;1
920260603;584030;3G;1
920260603;584030;5G;1
920260603;1422468;4G;1
920260603;584030;4G;1
920250401;1604521;3G;1
920250401;1604521;5G;1
920250401;2257556;3G;1
920250401;2257556;5G;1
920250401;1924440;3G;1
920250401;1924440;5G;1
920250401;2257556;4G;1
920250401;1924440;4G;1
920350108;532796;3G;1
920350108;532796;5G;1
920350108;2201607;3G;1
920350108;2201607;5G;1
920350108;588818;3G;1
920350108;588818;5G;1
920350108;871221;3G;1
920350108;871221;5G;1
920350108;532796;4G;1
920350108;2201607;4G;1
920350108;588818;4G;1
920350108;871221;4G;1
920510403;689796;3G;1
920510403;689796;5G;1
920510403;1992103;3G;1
920510403;1992103;5G;1
920510403;689796;4G;1
920510403;1992103;4G;1
920240301;702630;3G;1
920240301;702630;5G;1
920240301;1682177;3G;1
920240301;1682177;5G;1
920240301;2357536;3G;1
920240301;2357536;5G;1
920240301;595494;3G;1
920240301;595494;5G;1
920240301;702630;4G;1
920240301;1682177;4G;1
920240301;2357536;4G;1
920240301;595494;4G;1
920230401;2380612;3G;1
920230401;2380612;5G;1
920230401;798396;3G;1
920230401;798396;5G;1
920230401;2380612;4G;1
920230401;798396;4G;1
920510307;2022764;3G;1
920510307;2022764;5G;1
920510307;1530707;3G;1
920510307;1530707;5G;1
920510307;2058156;3G;1
920510307;2058156;5G;1
920510307;2022764;4G;1
920510307;1530707;4G;1
920510307;2058156;4G;1
920220107;2754214;3G;1
920220107;2754214;5G;1
920220107;1737138;3G;1
920220107;1737138;5G;1
920220107;2544177;3G;1
920220107;2544177;5G;1
920220107;2754214;4G;1
920220107;1737138;4G;1
920220107;2544177;4G;1
920220102;2308618;3G;1
920220102;2308618;5G;1
920220102;1482229;3G;1
920220102;1482229;5G;1
920220102;906160;3G;1
920220102;906160;5G;1
920220102;557730;3G;1
920220102;557730;5G;1
920220102;2308618;4G;1
920220102;1482229;4G;1
920220102;906160;4G;1
920220102;557730;4G;1
920630201;530551;3G;1
920630201;530551;5G;1
920630201;2725190;3G;1
920630201;2725190;5G;1
920630201;547121;3G;1
920630201;547121;5G;1
920630201;530551;4G;1
920630201;2725190;4G;1
920630201;547121;4G;1
920750109;568813;3G;1
920750109;568813;5G;1
920750109;568813;4G;1
920140101;468651;3G;1
920140101;468651;5G;1
920140101;1010940;3G;1
920140101;1010940;5G;1
920140101;1954211;3G;1
920140101;1954211;5G;1
920140101;468651;4G;1
920140101;1010940;4G;1
920140101;1954211;4G;1
920440120;1206077;3G;1
920440120;1206077;5G;1
920440120;1206077;4G;1
920400701;1890719;3G;1
920400701;1890719;5G;1
920400701;1890719;4G;1
